CD_NOM,Nb Obs Total,Auvergne-Rhône-Alpes,Bourgogne-Franche-Comté,Bretagne,Centre-Val de Loire,Corse,Façade Atlantique,Façade Manche,Façade Méditerranée,Grand Est,Hauts-de-France,Normandie,Nouvelle-Aquitaine,Occitanie,Pays de la Loire,Provence-Alpes-Côte d'Azur,Île-de-France
105817,107166,21867,12858,6099,10000,24,44,98,1,11063,5034,5315,11221,5577,6088,5302,6575
953657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105966,196171,53037,29250,3038,17544,1,57,110,8,20442,7738,4339,10639,8804,6070,15462,19632
106497,18913,4465,1761,2438,1660,555,8,10,13,926,1309,1009,1631,1024,1198,238,668
194267,371497,130824,43507,9351,24015,1395,68,67,882,24018,8928,6655,27566,24340,7464,40137,22280
106581,161950,36288,18520,9039,20086,4,65,63,0,10073,7649,6235,23581,7039,6883,37,16388
106653,264609,95934,28730,9369,13955,1181,107,168,30,16340,6049,6775,14061,15093,9044,35964,11809
610909,95794,14613,9942,5611,9989,1992,122,111,390,7663,6592,4036,6154,6630,4414,5138,12397
107295,302,3,10,0,8,24,0,0,29,6,2,2,6,73,3,125,11
107313,11153,3205,1262,10,1057,32,0,1,11,779,27,48,426,1404,256,2174,461
107318,65953,11630,2917,2570,2602,523,76,142,315,3288,3929,2086,5763,10686,2616,9321,7489
107574,40084,6908,2638,2991,5411,416,45,89,126,1118,740,1633,4497,3785,3375,1701,4611
107649,139974,39457,17515,2891,10166,202,42,115,62,12370,7774,3911,7373,6891,4080,10127,16998
107711,73723,20424,6790,1663,5070,51,42,63,22,7557,2413,1230,2489,5757,2686,9868,7598
108168,55405,12069,3675,1397,5264,558,11,20,22,1281,898,1574,10702,6968,2754,2129,6083
108351,68785,11396,6049,3273,6910,230,29,98,148,6602,7232,2862,3630,4499,3311,2867,9649
108874,46972,17897,2300,66,3566,1305,9,12,266,787,270,209,2782,5460,1513,7999,2531
112355,131586,27743,10686,3494,11463,499,24,103,218,11588,8153,5975,4165,11674,5598,16887,13316
611604,18,3,0,0,0,7,0,0,0,0,0,0,2,6,0,0,0
113474,102147,17761,10687,533,11665,77,13,42,108,8107,4222,1315,5689,6822,1771,11535,21800
113525,122276,41015,14028,3293,9160,243,35,90,18,6550,3469,2399,8319,8998,3421,15801,5437
113689,29592,2143,35,2094,1808,1180,25,7,143,26,69,143,12745,1678,1570,5603,323
113703,140363,57976,7701,2152,6788,0,3,2,1,10358,478,1088,6839,5219,1144,33384,7230
113893,307665,91331,34812,10030,23900,3061,128,200,470,20299,10682,8028,23691,21020,10381,21167,28465
114114,141274,31652,13079,7103,12510,971,57,151,189,10917,10931,6061,11403,6057,6134,3449,20610
